word,level,meaning_en
동대문시장,I,Dongdaemun market
동물,I,animal
동생,I,"brother, sister"
동아리,I,"club, group"
동안,I,"during, between"
동양,I,"eastern, orient"
동전,I,coin
동쪽,I,east
돼지,I,pig
돼지고기,I,pork
되다,I,become
된장,I,fermented soybean paste
된장국,I,soybean paste soup
된장찌개,I,soybean paste stew
두,I,two
두껍다,I,thick
두다,I,put
두부,I,tofu
두부찌개,I,tofu soup
둘,I,2
둘째,I,"second, the second of~"
뒤,I,"rear, back"
뒤쪽,I,"behind, back, towards the rear"
드라마,I,drama
드리다,I,give
드시다,I,eat (honorific form)
듣기,I,"listening, hearing"
듣다,I,listen
들,I,"field, ~s,"
들다,I,"hold, enter"
들어가다,I,"go in, enter"
들어오다,I,"come in, enter"
등,I,"etc, back"
등산,I,"hiking, mountain-climbing"
등산복,I,mountaineering clothing
등산화,I,"hiking boots, climbing shoes"
디브이디,I,DVD
디자인,I,design
따뜻하다,I,warm
따라가다,I,follow
따라오다,I,"come with, follow"
따로,I,separately
따르다,I,follow
딸,I,daughter
딸기,I,strawberry
땀,I,sweat
때,I,time
때문,I,"because, for ~, so~"
떠나다,I,leave
떠들다,I,"chatter, make a noise"
떡,I,rice cake
떡국,I,rice cake soup
떡볶이,I,Toppogi
떨어지다,I,drop
또,I,"in addition, again"
또는,I,or
똑같다,I,same
똑바로,I,"upright, straight"
뛰다,I,run
뜨겁다,I,hot
뜨다,I,"rise, open (the eyes)"
뜻,I,meaning
라디오,I,radio
라면,I,ramen
러시아,I,Russia
로션,I,skin lotion
마늘,I,garlic
마르다,I,dry
마리,I,"~ animal(s), ~ head(s)"
마시다,I,drink
마음,I,"mind, feeling"
마지막,I,last
마치다,I,"finish, end"
마흔,I,40
막히다,I,"be blocked, be clogged"
만,I,"only, ten thousand"
만나다,I,meet
만두,I,dumpling
만들다,I,"make, create"
만일,I,"if, should"
만지다,I,touch
만화,I,"comic book, cartoon"
많다,I,many
많이,I,"a lot of, many"
말,I,"word, talk"
말씀,I,"words, remarks"
말씀하다,I,talk
말하기,I,speaking
말하다,I,"say, talk"
맑다,I,"clear, clean"
맛,I,"flavor, taste"
맛없다,I,not delicious
맛있다,I,delicious
맞다,I,"right, fit, correct"
맞습니다,I,That's right.
맞아요,I,That's right.
맞은편,I,"across, the other side, opposite"
매다,I,tie
매우,I,"extremely, very"
매일,I,everyday
매주,I,every week
맥주,I,beer
맵다,I,spicy
머리,I,"head, hair"
먹다,I,eat
먼저,I,"first, first of all, before"
멀다,I,"far, distant, long"
멋있다,I,"cool, nice"
메뉴,I,menu
메다,I,"shoulder, carry"
메모,I,memo
메시지,I,message
멕시코,I,Mexico
며칠,I,"a few days, what date"
면도,I,"razor, shaving"
명,I,~  person(s)
명절,I,"holidays, annual events"
몇,I,"a few, a number of"
모두,I,"all, everyone"
모레,I,the day after tomorrow
모르겠습니다,I,I don't know.
모르다,I,do not know
모시다,I,"take you, serve you  (honorific form)"
모양,I,"shape, form, style"
모으다,I,"collect, gather"
모이다,I,"gather, get together"
모임,I,"meeting, gathering"
모자,I,hat
목,I,"neck, throat"
목걸이,I,necklace
목소리,I,voice
목요일,I,Thursday
목욕,I,"bath, bathing"
목욕하다,I,take a bath
목적,I,purpose
몸,I,body
몸살,I,"sickness, disease that comes from fatigue"
못하다,I,~ can not do
몽골,I,Mongolia
무,I,radish
무겁다,I,heavy
무궁화,I,rose of sharon
무료,I,free
무릎,I,knee
무리,I,"swarm, unreasonable"
무섭다,I,scary
무슨,I,what
무엇,I,what
무엇이,I,what
무역,I,trade
무용,I,dance
무척,I,very
문,I,"door, gate"
문구점,I,stationery store
문장,I,sentence
문제,I,problem
문화,I,culture
묻다,I,ask
물,I,water
물건,I,"stuff, thing"
물론,I,"sure, of course"
물어보다,I,ask
뭐,I,what
미국,I,The United States
미래,I,future
미리,I,"in advance, beforehand"
미술,I,art
미술관,I,"art gallery, art museum"
미안하다,I,sorry
미안합니다,I,I'm sorry.
미용실,I,beauty salon
미터,I,meter
민속촌,I,folk village
밀가루,I,flour
밀리다,I,"be shaved, be pushed"
밑,I,"bottom, below"
바꾸다,I,change
바뀌다,I,be changed
바나나,I,banana
바다,I,sea
바닷가,I,beach
바라다,I,hope
바람,I,wind
바로,I,"immediately, soon, just"
바르다,I,"right, paint, wear"
바쁘다,I,busy
바이올린,I,violin
바지,I,pants
박물관,I,museum
박수,I,"clap, applause"
밖,I,"out, outside"
반,I,"half, group"
반갑다,I,"nice to meet, happy"
반갑습니다,I,Nice to meet you.
반년,I,half a year
반달,I,half-moon
반바지,I,shorts
반지,I,ring
반찬,I,side dish
받다,I,receive
발,I,"foot, leg"
발가락,I,toe(s)
발음,I,pronunciation
발전,I,development
발표,I,"announcement, presentation"
밝다,I,bright
밤,I,night
밥,I,"rice, meal"
방,I,room
방법,I,"way, method"
방송,I,broadcast
방송국,I,broadcast stations
방학,I,vacation
배,I,"ship, stomach, pear"
배고프다,I,hungry
배구,I,volleyball
배달,I,delivery
배부르다,I,be full (I am full.)
배우,I,actor
배우다,I,learn
배탈,I,stomachache
백,I,100
백화점,I,department store
버리다,I,"abandon, throw away"
버스,I,bus
번,I,~ time(s)
번호,I,number
벌다,I,"earn, make money"
벌써,I,already
벗다,I,"take off (clothes, shoes)"
벚꽃,I,cherry blossom
베이징,I,Beijing
베트남,I,Vietnam
벽,I,wall
변호사,I,lawyer
별,I,star
별로,I,not really
병,I,"illness, ~ bottle(s)"
병원,I,hospital
보내다,I,"send, spend"
보다,I,see
보도,I,"sidewalk, report"
보이다,I,"show, look"
보통,I,"usually, normally, in general"
복숭아,I,peach
복잡하다,I,"complicated, crowded"
볶다,I,fry
볶음밥,I,fried rice
볼펜,I,ballpoint pen
봄,I,spring
봉지,I,bag
봉투,I,envelope
뵙다,I,meet
부동산,I,real estate
부드럽다,I,"soft, friendly"
부르다,I,"call, sing"
부모,I,parents
부부,I,"couple, husband and wife, married couple"
부산,I,Busan
부업,I,sideline
부엌,I,kitchen
부인,I,"wife, Mrs."
부장,I,director
부지런하다,I,diligent
부치다,I,"send, fry, transmit"
부탁,I,"request, please"
부탁하다,I,"beg, ask"
북쪽,I,North
분,I,"~ person(s), ~ minute(s)"
분위기,I,atmosphere
불,I,"fire, electrical light"
불고기,I,"Bulgogi, grilled meat"
불다,I,"blow (wind or whistle, musical instruments, etc.)"
불편하다,I,"uncomfortable, inconvenient"
붓다,I,pour
붙다,I,"stick, pass a test"
붙이다,I,"attach, stick"
브라질,I,Brazil
블라우스,I,blouse
비,I,rain
비누,I,soap
비디오,I,video
비밀,I,secret
비빔밥,I,"Bibimbap, mixed rice"
비슷하다,I,"similar, like"
비싸다,I,expensive
비행기,I,airplane
비행장,I,"airfield, airport"
빌딩,I,building
빌리다,I,"borrow, lend"
빠르다,I,fast
빨간색,I,red color
빨갛다,I,red
빨다,I,"suck, do laundry"
빨래,I,"laundry, wash"
빨리,I,quickly
빵,I,bread
빵집,I,bakery
빼다,I,"remove, pull, pull out"
뿐,I,only
사,I,4
사거리,I,"intersection, four corners"
사계절,I,four seasons
사고,I,accident
사과,I,apple
사다,I,buy
사람,I,"person, man"
사랑,I,love
사랑하다,I,love
사례,I,"case, example"
사무실,I,office
사물,I,"object, thing"
사십,I,40
사업가,I,"entrepreneur, businessman"
사용하다,I,use
사원,I,"temple, employee"
사월,I,April
사이,I,"between, while"
사이다,I,cider
사이즈,I,size
사인하다,I,sign
사장,I,"CEO, the president"
사전,I,dictionary
사진,I,"picture, photo"
사진기,I,camera
사촌,I,cousin
사탕,I,candy
사흘,I,3 days
산,I,mountain
산책,I,walk
살,I,"flesh, ~ year(s) old"
살다,I,live
삼,I,3
삼거리,I,"intersection, three-way intersection"
삼계탕,I,Samgyetang
삼십,I,30
삼월,I,March
삼촌,I,paternal uncle
상관,I,relation
상자,I,box
상처,I,"wound, scratch"
상품,I,product
새,I,"bird, new"
새로,I,newly
새벽,I,"dawn, late at night, early morning"
새우,I,shrimp
색,I,color
색깔,I,color
샌드위치,I,sandwich
생각,I,"thinking, thought"
생각되다,I,"be considered, it seems~"
생각하다,I,think
생기다,I,"form, arise"
생선,I,fish
생신,I,birthday  (honorific form)
생일,I,birthday
생활,I,life
샤워하다,I,take a shower
샴푸,I,shampoo
서다,I,stand
서로,I,"each other, both"
서류,I,document
서른,I,30
서비스,I,service
서양,I,"western, west"
서울,I,Seoul
서울역,I,Seoul station
서점,I,bookstore
서쪽,I,"west, western"
선물,I,"gift, present"
선배,I,"elder, senior"
선생님,I,teacher
선수,I,player
선택하다,I,"choose, select"
선풍기,I,fan
설거지,I,"washing dishes, dish-washing"
설날,I,Lunar New Year
설렁탕,I,Seolleongtang
설명,I,"explanation, description"
설명하다,I,explain
설악산,I,Mt. Seorak
설탕,I,sugar
섬,I,island
성,I,"castle, last name"
성격,I,personality
성함,I,name
세계,I,world
세수하다,I,wash
세우다,I,"set up, formulate"
세일하다,I,have a sale
세탁기,I,washing machine
세탁소,I,"dry cleaners, laundromat"
센터,I,center
센티미터,I,centimeter
셋,I,3
셋째,I,third
소,I,"small, cow"
소개,I,introduction
소개하다,I,introduce
소고기,I,beef
소금,I,salt
소리,I,"sound, voice"
소설,I,novel
소설가,I,novelist
소식,I,news
소파,I,sofa
소포,I,parcel
소풍,I,"picnic, trip"
소화제,I,"peptic, digestive"
속,I,inside
손,I,hand
손가락,I,finger
손님,I,customer
손수건,I,handkerchief
송이,I,"bunch, flower, cluster"
쇼핑,I,shopping
수건,I,"towel, washcloth"
수도,I,"capital, water supply"
수돗물,I,tap water
수박,I,watermelon
수술하다,I,operate on for
수업,I,"class, lesson"
수영,I,swimming
수영복,I,swimsuit
수영장,I,swimming pool
수요일,I,Wednesday
수저,I,chopsticks and a spoon
수첩,I,"note, notebook"
수학,I,mathematics
숙제,I,homework
순서,I,"order, turn"
숟가락,I,spoon
술,I,"alcohol, liquor"
쉬다,I,rest
쉰,I,50
쉽다,I,easy
슈퍼마켓,I,supermarket
스물,I,20
스웨터,I,sweater
스케이트,I,skate
스키,I,"ski, skiing"
스키장,I,ski resort
스타,I,star
스타킹,I,stockings
스트레스,I,stress
스페인어,I,Spanish
스포츠,I,sport
슬퍼하다,I,"sorrow, mourn"
슬프다,I,sad
습관,I,habit
시,I,"city, time"
시간,I,time
시간표,I,"schedule, timetable"
시계,I,clock
시골,I,countryside
시끄럽다,I,noisy
시내,I,"downtown, city, stream"
시다,I,sour
시디,I,CD
시민,I,citizen
시설,I,facility
시외,I,suburbs
시원하다,I,"cool, refresh"
시월,I,October
시작,I,start
시작되다,I,begin
시작하다,I,"start, begin"
시장,I,market
시청,I,city hall
시키다,I,"make someone do, order"
시험,I,"exam, test"
식당,I,"restaurant, cafeteria"
식사,I,meal
식탁,I,table
신,I,"god, new"
신다,I,"put on, wear"
신문,I,newspaper
신발,I,"shoes, footwear"
신청서,I,application forms
신청하다,I,"put in for, apply for"
실례,I,excuse
실례하다,I,be excused
실수,I,"mistake, failure"
싫다,I,hate
싫어하다,I,"dislike, hate"
심하다,I,"severe, terrible"
십,I,10
십이월,I,December
십일월,I,November
싱겁다,I,not salty
싶다,I,want
싸다,I,"cheap, wrap"
싸우다,I,fight
쌀,I,rice
쌀밥,I,cooked rice
쌓이다,I,"stack up, pile up"
썰다,I,"chop, cut"
쓰기,I,"writing, dictation"
쓰다,I,"write, use, wear (glasses)"
쓰레기,I,garbage
쓰이다,I,"be written, be used"
씨,I,"seed, Mr. ~"
씩,I,"each, every, per"
씹다,I,"chew, bite"
씻다,I,wash
아가씨,I,"Miss, daughter"
